B2,B3,B4,B8,B11,B12,NDVI,NDMI,longitude,latitude,geology_favorability
386.5,571.5,468.5,2303.0,1830.0,996.0,0.66191596,0.11444471,79.65999428139521,21.579958575818026,0.5941798249093816
372.0,526.5,410.0,2216.5,1667.5,882.0,0.6877974,0.14134912,79.66017394445204,21.579958575818026,0.5941798249093816
372.0,548.5,421.0,2287.0,1709.0,887.5,0.68906945,0.14464465,79.66035360750887,21.579958575818026,0.5941798249093816
413.5,615.0,501.0,2384.0,1873.0,1038.5,0.6526863,0.120037585,79.66053327056568,21.579958575818026,0.5941798249093816
408.0,564.0,485.5,2226.0,1923.5,1091.0,0.64189565,0.07290035,79.6607129336225,21.579958575818026,0.5941798249093816
370.5,548.0,413.5,2394.5,1790.0,978.0,0.70548433,0.1444617,79.66089259667933,21.579958575818026,0.5941798249093816
418.5,606.5,476.5,2333.5,1949.0,1089.0,0.6608541,0.089784004,79.66107225973616,21.579958575818026,0.5941798249093816
458.5,658.0,622.0,2173.5,2205.0,1349.0,0.5549991,-0.007194245,79.66125192279299,21.579958575818026,0.5941798249093816
458.5,658.0,622.0,2173.5,2205.0,1349.0,0.5549991,-0.007194245,79.6614315858498,21.579958575818026,0.5941798249093816
478.0,676.5,672.5,2048.0,2192.0,1397.0,0.5056056,-0.033962265,79.66161124890662,21.579958575818026,0.5941798249093816
424.5,641.5,538.5,2266.0,2048.0,1167.5,0.6159743,0.05053315,79.66179091196345,21.579958575818026,0.5941798249093816
417.5,633.0,498.0,2207.0,1959.5,1100.0,0.63179296,0.059402376,79.66197057502028,21.579958575818026,0.5941798249093816
424.0,636.5,504.0,2302.0,1924.0,1115.5,0.6407698,0.089446284,79.6621502380771,21.579958575818026,0.5941798249093816
419.5,616.5,501.5,2229.5,1901.5,1075.5,0.63273525,0.07939966,79.66232990113393,21.579958575818026,0.5941798249093816
433.0,659.0,537.5,2294.5,1970.0,1154.5,0.6204096,0.07609333,79.66250956419074,21.579958575818026,0.5941798249093816
450.0,657.0,571.0,2130.0,2026.5,1180.5,0.5771936,0.024900759,79.66268922724757,21.579958575818026,0.5941798249093816
432.0,659.0,551.5,2139.0,2011.5,1134.0,0.590039,0.03071919,79.6628688903044,21.579958575818026,0.5941798249093816
463.0,691.0,617.0,2342.5,2093.0,1235.0,0.5830377,0.056250706,79.66304855336122,21.579958575818026,0.5941798249093816
498.5,761.0,758.0,2371.0,2502.0,1706.5,0.5155002,-0.026882824,79.66322821641805,21.579958575818026,0.5941798249093816
637.5,873.0,1002.0,2177.0,2706.5,2089.0,0.36961308,-0.10842633,79.66340787947486,21.579958575818026,0.5941798249093816
508.5,722.5,725.5,2087.5,2337.0,1627.5,0.4841806,-0.056390554,79.66358754253169,21.579958575818026,0.5941798249093816
681.5,917.5,961.0,2787.0,2616.5,1705.5,0.48719317,0.031553622,79.66376720558851,21.579958575818026,0.5941798249093816
681.5,917.5,961.0,2787.0,2616.5,1705.5,0.48719317,0.031553622,79.66394686864534,21.579958575818026,0.5941798249093816
661.0,855.5,940.0,2622.5,2356.0,1542.0,0.4722807,0.05353018,79.66412653170217,21.579958575818026,0.5941798249093816
470.5,645.5,556.0,1896.5,1675.5,1007.5,0.54658514,0.0618701,79.66430619475899,21.579958575818026,0.5941798249093816
438.0,646.5,558.0,2498.5,1728.0,1039.0,0.6348765,0.18230215,79.6644858578158,21.579958575818026,0.5941798249093816
492.5,706.5,660.0,2635.5,1960.0,1309.5,0.5994538,0.14699163,79.66466552087263,21.579958575818026,0.5941798249093816
826.5,1158.0,1402.5,2595.5,2569.0,2142.0,0.2983992,0.005131184,79.66484518392946,21.579958575818026,0.5941798249093816
788.5,1075.5,1274.5,1865.5,2381.5,1997.0,0.18821657,-0.12149753,79.66502484698628,21.579958575818026,0.522912349014307
937.0,1310.0,1585.0,2146.5,2996.0,2671.5,0.15047568,-0.16519202,79.66520451004311,21.579958575818026,0.5227764071447694
1456.0,1969.0,2572.5,3305.5,4409.5,4111.0,0.12470228,-0.14309786,79.66538417309992,21.579958575818026,0.5231291035398054
1426.0,1968.5,2564.5,3270.5,4837.5,4608.0,0.120994,-0.19326591,79.66556383615675,21.579958575818026,0.5234817999348694
1413.0,1919.0,2505.0,3200.5,4839.5,4531.5,0.12189992,-0.20385572,79.66574349921358,21.579958575818026,0.5238344963299334
1457.0,2011.5,2638.5,3374.5,5065.5,4774.0,0.12240146,-0.20035546,79.6659231622704,21.579958575818026,0.5241871927249973
1536.5,2143.5,2838.5,3607.0,5331.0,4996.5,0.11923047,-0.19288431,79.66610282532723,21.579958575818026,0.5245398891200612
1580.0,2190.0,2907.0,3701.0,5519.0,5201.0,0.12015738,-0.19718005,79.66628248838406,21.579958575818026,0.5248925855151251
1625.0,2247.0,2974.5,3778.0,5554.0,5244.5,0.11899296,-0.1903129,79.66646215144087,21.579958575818026,0.5252452819101612
1625.0,2247.0,2974.5,3778.0,5554.0,5244.5,0.11899296,-0.1903129,79.6666418144977,21.579958575818026,0.525597978305225
1656.0,2305.0,3046.0,3847.5,5591.0,5290.5,0.11626895,-0.18472216,79.66682147755452,21.579958575818026,0.525950674700289
1681.0,2315.0,3068.5,3854.0,5576.0,5247.5,0.11347057,-0.1826087,79.66700114061135,21.579958575818026,0.526303371095353
1652.5,2280.0,3023.0,3809.0,5558.5,5247.0,0.11504684,-0.18676275,79.66718080366817,21.579958575818026,0.5266560674904168
1682.0,2300.0,3074.0,3874.5,5631.0,5326.5,0.11520472,-0.18478775,79.66736046672499,21.579958575818026,0.5270087638854529
1687.0,2318.0,3074.5,3921.0,5622.5,5300.0,0.12100636,-0.17828889,79.66754012978181,21.579958575818026,0.5273614602805168
1649.0,2266.0,3009.5,3846.5,5582.5,5338.5,0.122082844,-0.18411285,79.66771979283864,21.579958575818026,0.5277141566755807
1577.0,2174.0,2862.5,3715.5,5493.0,5181.0,0.12967467,-0.19302818,79.66789945589547,21.579958575818026,0.5280668530706446
