date,rainfall_mm,temp_max_c,temp_min_c,soil_moisture_pct,downtime_hrs,blasting_delay_hrs,target_production_t,actual_production_t,rainfall_lag1,downtime_lag1,soil_moisture_lag1,production_lag1,production_lag7,rolling_avg_7
2025-01-08,0.0,24.5,11.1,18.3,2,1,1000.0,959.6,0.0,2.0,21.3,979.6,933.0,938.1857142857143
2025-01-09,0.0,26.6,10.2,14.5,0,1,1000.0,961.0,0.0,2.0,18.3,959.6,932.4,942.2714285714286
2025-01-10,0.0,26.7,10.3,15.2,4,0,1000.0,915.9,0.0,0.0,14.5,961.0,940.2,938.8
2025-01-11,0.0,27.0,12.1,12.1,2,0,1000.0,972.6,0.0,4.0,15.2,915.9,928.5,945.1
2025-01-12,0.0,27.1,14.6,11.1,5,1,1000.0,893.9,0.0,2.0,12.1,972.6,923.7,940.842857142857
2025-01-13,0.1,26.2,14.3,11.6,2,2,1000.0,926.5,0.0,5.0,11.1,893.9,903.3,944.1571428571427
2025-01-14,0.0,26.9,13.9,6.4,0,0,1000.0,1047.1,0.1,2.0,11.6,926.5,979.6,953.8000000000001
2025-01-15,0.0,27.6,14.4,5.9,3,1,1000.0,932.1,0.0,0.0,6.4,1047.1,959.6,949.8714285714285
2025-01-16,0.0,25.1,16.2,7.5,5,0,1000.0,905.8,0.0,3.0,5.9,932.1,961.0,941.9857142857143
2025-01-17,0.0,27.0,14.3,5.9,1,0,1000.0,958.3,0.0,5.0,7.5,905.8,915.9,948.0428571428572
2025-01-18,0.0,27.6,13.6,7.9,0,0,1000.0,974.4,0.0,1.0,5.9,958.3,972.6,948.3
2025-01-19,0.0,28.4,13.2,5.0,8,2,1000.0,786.1,0.0,0.0,7.9,974.4,893.9,932.9
2025-01-20,0.0,29.2,13.3,5.0,1,1,1000.0,988.0,0.0,8.0,5.0,786.1,926.5,941.6857142857143
2025-01-21,0.0,30.0,14.3,8.6,2,1,1000.0,878.0,0.0,1.0,5.0,988.0,1047.1,917.5285714285714
2025-01-22,0.0,30.2,13.3,5.0,3,1,1000.0,944.6,0.0,2.0,8.6,878.0,932.1,919.3142857142858
2025-01-23,0.0,29.9,15.1,5.0,4,1,1000.0,889.0,0.0,3.0,5.0,944.6,905.8,916.9142857142857
2025-01-24,0.0,30.1,16.0,5.0,3,0,1000.0,939.6,0.0,4.0,5.0,889.0,958.3,914.2428571428571
2025-01-25,0.0,30.4,16.6,5.0,0,1,1000.0,948.1,0.0,3.0,5.0,939.6,974.4,910.4857142857144
2025-01-26,0.0,30.5,15.5,5.0,0,0,1000.0,1043.4,0.0,0.0,5.0,948.1,786.1,947.2428571428571
2025-01-27,0.0,30.6,14.6,5.0,3,1,1000.0,930.5,0.0,0.0,5.0,1043.4,988.0,939.0285714285714
2025-01-28,0.0,31.1,14.8,5.0,1,0,1000.0,1008.7,0.0,3.0,5.0,930.5,878.0,957.6999999999999
2025-01-29,0.0,31.0,16.0,5.0,2,3,1000.0,934.0,0.0,1.0,5.0,1008.7,944.6,956.1857142857142
2025-01-30,0.0,32.6,17.8,5.0,3,0,1000.0,959.9,0.0,2.0,5.0,934.0,889.0,966.3142857142857
2025-01-31,0.0,32.5,17.5,5.0,5,1,1000.0,864.1,0.0,3.0,5.0,959.9,939.6,955.5285714285716
2025-02-01,0.0,32.7,18.6,6.0,2,0,1000.0,963.4,0.0,5.0,5.0,864.1,948.1,957.7142857142857
2025-02-02,0.0,32.8,18.7,5.0,3,2,1000.0,882.7,0.0,2.0,6.0,963.4,1043.4,934.7571428571429
2025-02-03,0.0,34.1,19.3,5.0,2,0,1000.0,954.9,0.0,3.0,5.0,882.7,930.5,938.2428571428572
2025-02-04,0.0,34.2,19.5,5.0,0,0,1000.0,997.2,0.0,2.0,5.0,954.9,1008.7,936.6
2025-02-05,0.0,34.3,19.8,5.0,0,1,1000.0,971.0,0.0,0.0,5.0,997.2,934.0,941.8857142857144
2025-02-06,0.0,30.8,18.3,5.0,1,2,1000.0,947.4,0.0,0.0,5.0,971.0,959.9,940.1
2025-02-07,0.0,30.7,17.8,5.0,1,0,1000.0,1001.7,0.0,1.0,5.0,947.4,864.1,959.7571428571429
2025-02-08,0.0,32.4,17.6,5.0,3,0,1000.0,951.0,0.0,1.0,5.0,1001.7,963.4,957.9857142857143
2025-02-09,0.0,33.2,17.2,5.0,1,3,1000.0,922.1,0.0,3.0,5.0,951.0,882.7,963.6142857142858
2025-02-10,0.0,34.1,17.9,5.0,0,0,1000.0,983.5,0.0,1.0,5.0,922.1,954.9,967.6999999999999
2025-02-11,0.0,34.5,18.5,5.0,1,3,1000.0,949.4,0.0,0.0,5.0,983.5,997.2,960.8714285714285
2025-02-12,0.0,34.0,17.7,5.0,1,2,1000.0,918.0,0.0,1.0,5.0,949.4,971.0,953.3
2025-02-13,0.0,30.9,17.2,5.0,0,1,1000.0,1010.9,0.0,1.0,5.0,918.0,947.4,962.3714285714286
2025-02-14,0.0,32.0,15.8,5.0,1,1,1000.0,915.7,0.0,0.0,5.0,1010.9,1001.7,950.0857142857143
2025-02-15,0.0,33.6,15.3,5.0,2,2,1000.0,908.6,0.0,1.0,5.0,915.7,951.0,944.0285714285716
2025-02-16,0.0,34.4,15.6,5.0,0,1,1000.0,965.1,0.0,2.0,5.0,908.6,922.1,950.1714285714286
2025-02-17,0.0,34.6,17.4,5.0,2,2,1000.0,928.4,0.0,0.0,5.0,965.1,983.5,942.3000000000001
2025-02-18,0.0,34.6,18.9,5.0,2,0,1000.0,995.9,0.0,2.0,5.0,928.4,949.4,948.9428571428572
2025-02-19,0.0,34.3,20.7,5.0,3,1,1000.0,892.5,0.0,2.0,5.0,995.9,918.0,945.3000000000001
2025-02-20,0.0,34.7,19.5,5.0,1,2,1000.0,901.8,0.0,3.0,5.0,892.5,1010.9,929.7142857142857
2025-02-21,0.0,34.2,18.8,5.0,2,0,1000.0,927.9,0.0,1.0,5.0,901.8,915.7,931.4571428571428
2025-02-22,0.0,33.2,18.6,5.0,2,1,1000.0,984.6,0.0,2.0,5.0,927.9,908.6,942.3142857142857
2025-02-23,0.0,33.0,19.0,5.0,3,0,1000.0,963.9,0.0,2.0,5.0,984.6,965.1,942.1428571428571
2025-02-24,0.0,33.2,18.5,5.0,1,1,1000.0,927.5,0.0,3.0,5.0,963.9,928.4,942.0142857142856
2025-02-25,0.0,32.9,19.6,5.0,2,1,1000.0,931.7,0.0,1.0,5.0,927.5,995.9,932.842857142857
2025-02-26,0.0,34.0,19.4,5.0,1,1,1000.0,995.5,0.0,2.0,5.0,931.7,892.5,947.5571428571428
2025-02-27,0.0,34.8,19.8,5.0,0,0,1000.0,991.7,0.0,1.0,5.0,995.5,901.8,960.4
2025-02-28,0.0,35.5,19.3,5.0,1,2,1000.0,922.4,0.0,0.0,5.0,991.7,927.9,959.6142857142858
2025-03-01,0.0,35.6,20.0,5.0,1,0,1000.0,958.6,0.0,1.0,5.0,922.4,984.6,955.9
2025-03-02,0.0,36.1,21.2,5.0,5,0,1000.0,888.8,0.0,1.0,5.0,958.6,963.9,945.1714285714286
2025-03-03,0.0,36.0,20.7,5.0,3,0,1000.0,985.5,0.0,5.0,5.0,888.8,927.5,953.4571428571428
2025-03-04,0.0,36.8,20.3,5.0,0,0,1000.0,1041.2,0.0,3.0,5.0,985.5,931.7,969.1000000000001
2025-03-05,0.0,32.4,16.8,5.0,1,0,1000.0,955.4,0.0,0.0,5.0,1041.2,995.5,963.3714285714286
2025-03-06,0.0,33.3,16.7,5.0,2,1,1000.0,987.1,0.0,1.0,5.0,955.4,991.7,962.7142857142857
2025-03-07,0.0,35.0,16.6,5.0,3,2,1000.0,890.4,0.0,2.0,5.0,987.1,922.4,958.1428571428571
2025-03-08,0.0,36.5,16.5,5.0,1,5,1000.0,868.5,0.0,3.0,5.0,890.4,958.6,945.2714285714285
2025-03-09,0.0,36.3,20.8,5.0,1,0,1000.0,1020.8,0.0,1.0,5.0,868.5,888.8,964.1285714285715
2025-03-10,0.0,36.3,21.8,5.0,1,2,1000.0,924.1,0.0,1.0,5.0,1020.8,985.5,955.3571428571429
2025-03-11,0.0,37.2,20.5,5.0,1,1,1000.0,939.2,0.0,1.0,5.0,924.1,1041.2,940.7857142857143
2025-03-12,0.0,39.2,20.1,5.0,3,1,1000.0,933.0,0.0,1.0,5.0,939.2,955.4,937.5857142857143
2025-03-13,0.0,39.8,21.1,5.0,4,1,1000.0,857.7,0.0,3.0,5.0,933.0,987.1,919.1
2025-03-14,0.0,40.9,21.9,5.0,1,0,1000.0,989.9,0.0,4.0,5.0,857.7,890.4,933.3142857142857
2025-03-15,0.0,39.3,21.9,5.0,3,1,1000.0,912.8,0.0,1.0,5.0,989.9,868.5,939.6428571428571
2025-03-16,0.0,39.3,23.0,5.0,2,2,1000.0,881.2,0.0,3.0,5.0,912.8,1020.8,919.6999999999999
2025-03-17,0.0,39.0,23.4,5.0,2,1,1000.0,906.9,0.0,2.0,5.0,881.2,924.1,917.2428571428572
2025-03-18,0.0,38.4,23.3,5.0,0,1,1000.0,916.5,0.0,2.0,5.0,906.9,939.2,914.0
2025-03-19,0.0,38.4,23.3,5.0,2,1,1000.0,911.9,0.0,0.0,5.0,916.5,933.0,910.9857142857143
2025-03-20,0.0,38.2,24.7,5.0,1,1,1000.0,936.1,0.0,2.0,5.0,911.9,857.7,922.1857142857142
2025-03-21,0.1,37.6,22.3,5.0,1,1,1000.0,915.0,0.0,1.0,5.0,936.1,989.9,911.4857142857143
2025-03-22,0.0,36.2,21.5,5.0,1,1,1000.0,952.6,0.1,1.0,5.0,915.0,912.8,917.1714285714286
2025-03-23,0.0,36.3,21.5,5.0,0,0,1000.0,1007.7,0.0,1.0,5.0,952.6,881.2,935.2428571428571
2025-03-24,0.0,36.7,20.7,5.0,3,1,1000.0,915.1,0.0,0.0,5.0,1007.7,906.9,936.4142857142857
2025-03-25,0.0,37.7,20.8,5.0,4,2,1000.0,896.4,0.0,3.0,5.0,915.1,916.5,933.5428571428571
2025-03-26,0.0,38.3,21.4,5.0,4,1,1000.0,874.3,0.0,4.0,5.0,896.4,911.9,928.1714285714286
2025-03-27,0.0,39.5,21.1,5.0,2,1,1000.0,952.6,0.0,4.0,5.0,874.3,936.1,930.5285714285716
2025-03-28,0.0,39.8,22.9,5.0,0,0,1000.0,979.7,0.0,2.0,5.0,952.6,915.0,939.7714285714286
2025-03-29,0.0,38.7,24.2,5.0,3,0,1000.0,982.9,0.0,0.0,5.0,979.7,952.6,944.1
2025-03-30,0.0,39.3,23.9,5.0,2,0,1000.0,1020.9,0.0,3.0,5.0,982.9,1007.7,945.9857142857144
2025-03-31,0.0,39.0,24.9,5.0,1,0,1000.0,950.9,0.0,2.0,5.0,1020.9,915.1,951.1
2025-04-01,0.0,37.8,24.5,5.0,2,3,1000.0,868.1,0.0,1.0,5.0,950.9,896.4,947.0571428571429
2025-04-02,0.2,35.9,24.2,5.0,3,0,1000.0,942.9,0.0,2.0,5.0,868.1,874.3,956.8571428571429
2025-04-03,9.1,31.2,21.8,5.0,2,0,1000.0,977.0,0.2,3.0,5.0,942.9,952.6,960.342857142857
2025-04-04,0.0,36.7,21.9,5.0,2,0,1000.0,1001.3,9.1,2.0,5.0,977.0,979.7,963.4285714285714
2025-04-05,0.0,38.6,22.1,5.0,4,0,1000.0,902.4,0.0,2.0,5.0,1001.3,982.9,951.9285714285714
2025-04-06,0.0,40.9,22.0,5.0,0,1,1000.0,956.9,0.0,4.0,5.0,902.4,1020.9,942.7857142857143
2025-04-07,0.0,39.9,21.7,5.0,3,0,1000.0,926.4,0.0,0.0,5.0,956.9,950.9,939.2857142857143
2025-04-08,0.0,39.7,22.2,5.0,5,0,1000.0,920.0,0.0,3.0,5.0,926.4,868.1,946.6999999999999
2025-04-09,0.0,38.0,24.2,5.0,1,2,1000.0,965.3,0.0,5.0,5.0,920.0,942.9,949.9
2025-04-10,0.0,39.5,22.2,5.0,1,2,1000.0,905.3,0.0,1.0,5.0,965.3,977.0,939.657142857143
2025-04-11,0.0,41.0,22.3,5.0,3,0,1000.0,874.9,0.0,1.0,5.0,905.3,1001.3,921.6
2025-04-12,0.0,38.9,23.9,5.0,1,3,1000.0,912.8,0.0,3.0,5.0,874.9,902.4,923.0857142857143
2025-04-13,0.0,39.6,23.1,5.0,1,1,1000.0,912.0,0.0,1.0,5.0,912.8,956.9,916.6714285714286
2025-04-14,0.0,38.2,22.7,5.0,2,1,1000.0,924.7,0.0,1.0,5.0,912.0,926.4,916.4285714285714
2025-04-15,0.0,38.7,23.0,5.0,2,4,1000.0,875.1,0.0,2.0,5.0,924.7,920.0,910.0142857142857
2025-04-16,0.0,38.1,24.5,5.0,3,1,1000.0,923.4,0.0,2.0,5.0,875.1,965.3,904.0285714285714
2025-04-17,0.0,38.9,24.8,5.0,1,0,1000.0,962.4,0.0,3.0,5.0,923.4,905.3,912.1857142857142
2025-04-18,0.0,41.2,24.7,5.0,3,1,1000.0,881.7,0.0,1.0,5.0,962.4,874.9,913.157142857143
2025-04-19,0.0,42.5,26.2,5.0,2,1,1000.0,820.5,0.0,3.0,5.0,881.7,912.8,899.9714285714284
2025-04-20,0.0,42.8,25.2,5.0,2,0,1000.0,951.9,0.0,2.0,5.0,820.5,912.0,905.6714285714286
