date,rainfall_mm,temp_max_c,temp_min_c,soil_moisture_pct,downtime_hrs,blasting_delay_hrs,target_production_t,actual_production_t
2025-01-01,0.0,26.1,12.0,31.0,2,1,1000.0,933.0
2025-01-02,0.0,27.8,11.7,27.3,1,1,1000.0,932.4
2025-01-03,0.0,28.0,12.2,26.7,3,0,1000.0,940.2
2025-01-04,0.0,28.3,12.7,26.4,4,0,1000.0,928.5
2025-01-05,0.0,26.9,12.3,21.0,4,1,1000.0,923.7
2025-01-06,0.0,26.8,12.2,19.3,3,1,1000.0,903.3
2025-01-07,0.0,27.1,11.5,21.3,2,0,1000.0,979.6
2025-01-08,0.0,24.5,11.1,18.3,2,1,1000.0,959.6
2025-01-09,0.0,26.6,10.2,14.5,0,1,1000.0,961.0
2025-01-10,0.0,26.7,10.3,15.2,4,0,1000.0,915.9
2025-01-11,0.0,27.0,12.1,12.1,2,0,1000.0,972.6
2025-01-12,0.0,27.1,14.6,11.1,5,1,1000.0,893.9
2025-01-13,0.1,26.2,14.3,11.6,2,2,1000.0,926.5
2025-01-14,0.0,26.9,13.9,6.4,0,0,1000.0,1047.1
2025-01-15,0.0,27.6,14.4,5.9,3,1,1000.0,932.1
2025-01-16,0.0,25.1,16.2,7.5,5,0,1000.0,905.8
2025-01-17,0.0,27.0,14.3,5.9,1,0,1000.0,958.3
2025-01-18,0.0,27.6,13.6,7.9,0,0,1000.0,974.4
2025-01-19,0.0,28.4,13.2,5.0,8,2,1000.0,786.1
2025-01-20,0.0,29.2,13.3,5.0,1,1,1000.0,988.0
2025-01-21,0.0,30.0,14.3,8.6,2,1,1000.0,878.0
2025-01-22,0.0,30.2,13.3,5.0,3,1,1000.0,944.6
2025-01-23,0.0,29.9,15.1,5.0,4,1,1000.0,889.0
2025-01-24,0.0,30.1,16.0,5.0,3,0,1000.0,939.6
2025-01-25,0.0,30.4,16.6,5.0,0,1,1000.0,948.1
2025-01-26,0.0,30.5,15.5,5.0,0,0,1000.0,1043.4
2025-01-27,0.0,30.6,14.6,5.0,3,1,1000.0,930.5
2025-01-28,0.0,31.1,14.8,5.0,1,0,1000.0,1008.7
2025-01-29,0.0,31.0,16.0,5.0,2,3,1000.0,934.0
2025-01-30,0.0,32.6,17.8,5.0,3,0,1000.0,959.9
2025-01-31,0.0,32.5,17.5,5.0,5,1,1000.0,864.1
2025-02-01,0.0,32.7,18.6,6.0,2,0,1000.0,963.4
2025-02-02,0.0,32.8,18.7,5.0,3,2,1000.0,882.7
2025-02-03,0.0,34.1,19.3,5.0,2,0,1000.0,954.9
2025-02-04,0.0,34.2,19.5,5.0,0,0,1000.0,997.2
2025-02-05,0.0,34.3,19.8,5.0,0,1,1000.0,971.0
2025-02-06,0.0,30.8,18.3,5.0,1,2,1000.0,947.4
2025-02-07,0.0,30.7,17.8,5.0,1,0,1000.0,1001.7
2025-02-08,0.0,32.4,17.6,5.0,3,0,1000.0,951.0
2025-02-09,0.0,33.2,17.2,5.0,1,3,1000.0,922.1
2025-02-10,0.0,34.1,17.9,5.0,0,0,1000.0,983.5
2025-02-11,0.0,34.5,18.5,5.0,1,3,1000.0,949.4
2025-02-12,0.0,34.0,17.7,5.0,1,2,1000.0,918.0
2025-02-13,0.0,30.9,17.2,5.0,0,1,1000.0,1010.9
2025-02-14,0.0,32.0,15.8,5.0,1,1,1000.0,915.7
2025-02-15,0.0,33.6,15.3,5.0,2,2,1000.0,908.6
2025-02-16,0.0,34.4,15.6,5.0,0,1,1000.0,965.1
2025-02-17,0.0,34.6,17.4,5.0,2,2,1000.0,928.4
2025-02-18,0.0,34.6,18.9,5.0,2,0,1000.0,995.9
2025-02-19,0.0,34.3,20.7,5.0,3,1,1000.0,892.5
2025-02-20,0.0,34.7,19.5,5.0,1,2,1000.0,901.8
2025-02-21,0.0,34.2,18.8,5.0,2,0,1000.0,927.9
2025-02-22,0.0,33.2,18.6,5.0,2,1,1000.0,984.6
2025-02-23,0.0,33.0,19.0,5.0,3,0,1000.0,963.9
2025-02-24,0.0,33.2,18.5,5.0,1,1,1000.0,927.5
2025-02-25,0.0,32.9,19.6,5.0,2,1,1000.0,931.7
2025-02-26,0.0,34.0,19.4,5.0,1,1,1000.0,995.5
2025-02-27,0.0,34.8,19.8,5.0,0,0,1000.0,991.7
2025-02-28,0.0,35.5,19.3,5.0,1,2,1000.0,922.4
2025-03-01,0.0,35.6,20.0,5.0,1,0,1000.0,958.6
2025-03-02,0.0,36.1,21.2,5.0,5,0,1000.0,888.8
2025-03-03,0.0,36.0,20.7,5.0,3,0,1000.0,985.5
2025-03-04,0.0,36.8,20.3,5.0,0,0,1000.0,1041.2
2025-03-05,0.0,32.4,16.8,5.0,1,0,1000.0,955.4
2025-03-06,0.0,33.3,16.7,5.0,2,1,1000.0,987.1
2025-03-07,0.0,35.0,16.6,5.0,3,2,1000.0,890.4
2025-03-08,0.0,36.5,16.5,5.0,1,5,1000.0,868.5
2025-03-09,0.0,36.3,20.8,5.0,1,0,1000.0,1020.8
2025-03-10,0.0,36.3,21.8,5.0,1,2,1000.0,924.1
2025-03-11,0.0,37.2,20.5,5.0,1,1,1000.0,939.2
2025-03-12,0.0,39.2,20.1,5.0,3,1,1000.0,933.0
2025-03-13,0.0,39.8,21.1,5.0,4,1,1000.0,857.7
2025-03-14,0.0,40.9,21.9,5.0,1,0,1000.0,989.9
2025-03-15,0.0,39.3,21.9,5.0,3,1,1000.0,912.8
2025-03-16,0.0,39.3,23.0,5.0,2,2,1000.0,881.2
2025-03-17,0.0,39.0,23.4,5.0,2,1,1000.0,906.9
2025-03-18,0.0,38.4,23.3,5.0,0,1,1000.0,916.5
2025-03-19,0.0,38.4,23.3,5.0,2,1,1000.0,911.9
2025-03-20,0.0,38.2,24.7,5.0,1,1,1000.0,936.1
2025-03-21,0.1,37.6,22.3,5.0,1,1,1000.0,915.0
2025-03-22,0.0,36.2,21.5,5.0,1,1,1000.0,952.6
2025-03-23,0.0,36.3,21.5,5.0,0,0,1000.0,1007.7
2025-03-24,0.0,36.7,20.7,5.0,3,1,1000.0,915.1
2025-03-25,0.0,37.7,20.8,5.0,4,2,1000.0,896.4
2025-03-26,0.0,38.3,21.4,5.0,4,1,1000.0,874.3
2025-03-27,0.0,39.5,21.1,5.0,2,1,1000.0,952.6
2025-03-28,0.0,39.8,22.9,5.0,0,0,1000.0,979.7
2025-03-29,0.0,38.7,24.2,5.0,3,0,1000.0,982.9
2025-03-30,0.0,39.3,23.9,5.0,2,0,1000.0,1020.9
2025-03-31,0.0,39.0,24.9,5.0,1,0,1000.0,950.9
2025-04-01,0.0,37.8,24.5,5.0,2,3,1000.0,868.1
2025-04-02,0.2,35.9,24.2,5.0,3,0,1000.0,942.9
2025-04-03,9.1,31.2,21.8,5.0,2,0,1000.0,977.0
2025-04-04,0.0,36.7,21.9,5.0,2,0,1000.0,1001.3
2025-04-05,0.0,38.6,22.1,5.0,4,0,1000.0,902.4
2025-04-06,0.0,40.9,22.0,5.0,0,1,1000.0,956.9
2025-04-07,0.0,39.9,21.7,5.0,3,0,1000.0,926.4
2025-04-08,0.0,39.7,22.2,5.0,5,0,1000.0,920.0
2025-04-09,0.0,38.0,24.2,5.0,1,2,1000.0,965.3
2025-04-10,0.0,39.5,22.2,5.0,1,2,1000.0,905.3
2025-04-11,0.0,41.0,22.3,5.0,3,0,1000.0,874.9
2025-04-12,0.0,38.9,23.9,5.0,1,3,1000.0,912.8
2025-04-13,0.0,39.6,23.1,5.0,1,1,1000.0,912.0
2025-04-14,0.0,38.2,22.7,5.0,2,1,1000.0,924.7
2025-04-15,0.0,38.7,23.0,5.0,2,4,1000.0,875.1
2025-04-16,0.0,38.1,24.5,5.0,3,1,1000.0,923.4
2025-04-17,0.0,38.9,24.8,5.0,1,0,1000.0,962.4
2025-04-18,0.0,41.2,24.7,5.0,3,1,1000.0,881.7
2025-04-19,0.0,42.5,26.2,5.0,2,1,1000.0,820.5
2025-04-20,0.0,42.8,25.2,5.0,2,0,1000.0,951.9
2025-04-21,0.0,42.6,24.4,5.0,6,0,1000.0,864.4
2025-04-22,0.0,43.1,24.7,5.0,3,0,1000.0,959.9
2025-04-23,0.0,42.9,24.2,5.0,3,2,1000.0,877.4
2025-04-24,0.0,42.8,24.1,5.6,2,0,1000.0,914.8
2025-04-25,0.0,42.4,24.3,5.0,4,0,1000.0,935.0
2025-04-26,0.0,40.8,28.3,5.0,0,0,1000.0,1005.5
2025-04-27,1.3,37.9,24.9,5.0,2,0,1000.0,947.4
2025-04-28,0.0,39.3,24.6,5.0,1,1,1000.0,974.3
2025-04-29,0.0,39.7,25.5,5.0,3,0,1000.0,914.8
2025-04-30,0.0,40.3,24.9,5.0,2,0,1000.0,948.3
2025-05-01,0.0,39.0,24.1,5.0,1,0,1000.0,982.1
2025-05-02,0.0,37.9,23.5,5.0,1,1,1000.0,969.0
2025-05-03,2.9,38.7,22.2,5.0,3,0,1000.0,951.7
2025-05-04,10.2,38.3,21.8,5.0,1,0,1000.0,946.3
2025-05-05,0.5,37.6,21.6,6.6,1,1,1000.0,979.2
2025-05-06,0.0,36.7,22.8,9.4,2,0,1000.0,957.8
2025-05-07,0.0,36.5,23.0,5.0,0,2,1000.0,925.4
2025-05-08,0.0,37.1,22.7,5.0,3,1,1000.0,902.9
2025-05-09,0.0,37.7,24.9,5.0,3,2,1000.0,949.7
2025-05-10,0.0,39.4,24.6,5.0,1,0,1000.0,940.7
2025-05-11,0.0,39.4,26.1,5.0,2,1,1000.0,961.7
2025-05-12,1.2,37.7,25.8,5.0,3,2,1000.0,856.0
2025-05-13,0.7,39.1,26.5,5.0,2,0,1000.0,963.3
2025-05-14,0.3,38.7,26.3,5.0,3,1,1000.0,920.1
2025-05-15,0.0,37.8,26.0,5.0,2,0,1000.0,1004.6
2025-05-16,4.6,39.4,26.5,7.8,0,0,1000.0,952.8
2025-05-17,0.0,39.1,26.4,5.0,1,1,1000.0,911.6
2025-05-18,0.0,38.4,27.2,5.0,1,1,1000.0,939.5
2025-05-19,0.4,38.1,25.5,5.4,1,0,1000.0,1019.0
2025-05-20,0.0,39.5,26.7,5.0,1,1,1000.0,911.0
2025-05-21,0.5,39.2,26.0,5.0,0,0,1000.0,900.7
2025-05-22,0.0,30.3,24.1,5.8,2,1,1000.0,946.8
2025-05-23,0.0,35.3,23.9,5.0,1,1,1000.0,987.0
2025-05-24,2.7,32.9,24.3,5.0,3,2,1000.0,871.3
2025-05-25,0.8,34.7,24.2,5.0,2,0,1000.0,994.5
2025-05-26,9.6,35.1,25.0,8.9,2,2,1000.0,876.9
2025-05-27,4.8,37.0,24.9,6.2,0,2,1000.0,929.8
2025-05-28,11.0,36.8,24.8,9.7,1,0,1000.0,985.4
2025-05-29,0.0,37.1,26.0,12.4,1,1,1000.0,913.9
2025-05-30,1.9,36.9,26.8,11.8,3,0,1000.0,948.7
2025-05-31,0.0,37.5,26.0,10.8,1,2,1000.0,958.9
2025-06-01,0.0,36.6,24.7,10.2,2,0,1000.0,976.2
2025-06-02,1.2,35.8,24.8,7.9,2,1,1000.0,917.9
2025-06-03,0.0,35.2,25.2,8.9,3,1,1000.0,974.6
2025-06-04,1.2,33.5,24.6,8.9,4,0,1000.0,958.3
2025-06-05,0.0,36.1,24.3,6.2,0,1,1000.0,913.7
2025-06-06,0.0,38.1,23.8,10.7,2,2,1000.0,930.4
2025-06-07,0.0,37.1,24.7,7.4,1,1,1000.0,932.4
2025-06-08,0.0,40.5,26.8,5.0,3,1,1000.0,908.4
2025-06-09,0.0,41.3,25.7,6.8,1,2,1000.0,933.7
2025-06-10,0.0,41.2,25.2,5.0,1,0,1000.0,937.5
2025-06-11,0.5,36.7,27.1,6.4,2,0,1000.0,911.5
2025-06-12,0.0,37.1,27.0,6.7,2,0,1000.0,1004.7
2025-06-13,0.4,36.0,26.7,5.0,0,1,1000.0,1004.5
2025-06-14,0.3,37.1,26.1,5.9,1,1,1000.0,946.5
2025-06-15,0.0,36.5,26.7,5.0,4,2,1000.0,908.1
2025-06-16,5.9,34.7,24.7,7.4,3,0,1000.0,936.8
2025-06-17,4.8,31.7,24.8,11.0,0,0,1000.0,997.1
2025-06-18,0.1,35.3,26.6,6.2,1,1,1000.0,954.1
2025-06-19,0.6,32.6,24.8,5.0,0,0,1000.0,989.4
2025-06-20,3.8,30.1,24.6,5.6,2,2,1000.0,926.2
2025-06-21,3.1,33.4,24.2,6.4,1,0,1000.0,945.0
2025-06-22,6.3,28.9,24.3,9.8,2,2,1000.0,904.9
2025-06-23,18.3,33.7,24.2,17.1,4,2,1000.0,877.5
2025-06-24,28.9,32.2,24.1,27.2,0,0,1000.0,1020.5
2025-06-25,7.3,31.2,24.2,29.1,2,2,1000.0,876.2
2025-06-26,8.3,29.4,23.9,28.6,2,0,1000.0,975.7
2025-06-27,3.2,30.7,23.9,30.5,1,0,1000.0,1000.1
2025-06-28,4.3,31.7,23.8,26.6,0,4,1000.0,838.5
2025-06-29,25.5,28.7,22.7,40.6,3,2,1000.0,886.7
2025-06-30,44.4,31.3,23.0,51.3,3,1,1000.0,903.1
2025-07-01,22.9,29.1,23.1,53.5,2,1,1000.0,935.2
2025-07-02,2.5,29.3,23.7,49.7,0,0,1000.0,994.5
2025-07-03,15.6,30.6,24.1,54.9,1,0,1000.0,976.3
2025-07-04,8.4,27.0,24.2,52.5,2,0,1000.0,965.0
2025-07-05,4.0,29.1,24.1,51.8,5,0,1000.0,869.5
2025-07-06,46.8,28.0,23.5,66.0,2,0,1000.0,919.6
2025-07-07,124.7,24.1,22.8,95.0,8,5,1000.0,594.3
2025-07-08,65.3,26.7,22.6,95.0,4,0,1000.0,840.5
2025-07-09,15.7,26.6,22.7,95.0,2,0,1000.0,1025.7
2025-07-10,30.0,30.7,22.7,95.0,5,1,1000.0,901.6
2025-07-11,14.2,31.4,22.9,95.0,4,3,1000.0,813.5
2025-07-12,0.0,32.3,23.7,95.0,2,1,1000.0,955.4
2025-07-13,4.5,31.2,24.8,95.0,0,2,1000.0,988.3
2025-07-14,10.9,32.0,24.7,95.0,3,0,1000.0,897.0
2025-07-15,2.2,32.0,24.6,88.8,2,0,1000.0,969.7
2025-07-16,9.8,28.8,24.3,83.1,3,1,1000.0,922.0
2025-07-17,7.0,29.3,24.3,81.2,1,1,1000.0,913.4
2025-07-18,1.4,31.3,23.9,75.1,1,3,1000.0,919.7
2025-07-19,0.3,33.1,23.7,66.8,5,0,1000.0,958.1
2025-07-20,21.2,32.2,23.4,72.8,3,0,1000.0,974.8
2025-07-21,11.6,32.9,23.4,72.0,4,1,1000.0,893.6
2025-07-22,18.1,30.9,24.5,74.7,2,1,1000.0,998.3
2025-07-23,28.5,31.9,24.2,80.2,1,0,1000.0,889.1
2025-07-24,60.7,27.1,23.4,93.4,1,0,1000.0,922.8
2025-07-25,46.7,26.6,23.3,95.0,0,1,1000.0,876.6
2025-07-26,69.8,27.0,23.4,95.0,6,1,1000.0,803.9
2025-07-27,0.5,31.0,23.6,95.0,3,1,1000.0,913.7
2025-07-28,14.3,28.2,23.4,95.0,3,2,1000.0,903.0
2025-07-29,11.7,26.2,23.3,95.0,4,4,1000.0,822.2
2025-07-30,1.9,29.9,23.1,95.0,2,1,1000.0,917.9
2025-07-31,2.0,30.9,23.2,95.0,4,0,1000.0,914.8
2025-08-01,0.0,32.4,23.4,87.8,1,1,1000.0,1018.0
2025-08-02,0.1,32.0,24.2,80.4,2,4,1000.0,883.2
2025-08-03,0.5,32.4,24.0,72.3,0,0,1000.0,948.3
2025-08-04,0.4,33.0,23.9,68.8,5,1,1000.0,916.0
2025-08-05,0.6,32.5,24.1,60.6,2,0,1000.0,963.4
2025-08-06,1.5,32.8,24.6,57.3,2,0,1000.0,968.3
2025-08-07,5.1,32.6,23.8,54.2,3,2,1000.0,923.5
2025-08-08,6.4,30.3,23.2,53.5,2,1,1000.0,972.8
2025-08-09,2.4,30.7,23.5,54.7,6,0,1000.0,881.4
2025-08-10,2.2,32.1,23.4,43.2,2,2,1000.0,916.5
2025-08-11,2.3,31.7,23.7,45.5,2,0,1000.0,950.9
2025-08-12,14.0,31.9,24.3,42.9,2,2,1000.0,921.1
2025-08-13,36.7,28.9,23.7,56.2,3,2,1000.0,854.0
2025-08-14,3.9,31.6,23.9,56.3,3,3,1000.0,876.2
2025-08-15,25.1,29.6,23.4,60.0,3,1,1000.0,891.8
2025-08-16,32.8,30.1,23.3,66.0,6,0,1000.0,867.5
2025-08-17,1.6,30.8,24.1,61.9,1,3,1000.0,959.2
2025-08-18,10.7,30.7,24.1,63.9,2,1,1000.0,1003.9
2025-08-19,25.5,31.0,23.8,66.3,1,4,1000.0,865.7
2025-08-20,19.7,28.3,23.4,70.7,2,1,1000.0,918.4
2025-08-21,9.6,29.8,23.4,68.5,3,1,1000.0,870.6
2025-08-22,16.8,26.9,23.6,68.4,3,1,1000.0,887.0
2025-08-23,7.8,27.5,23.0,71.5,2,1,1000.0,931.8
2025-08-24,12.4,28.9,23.0,68.1,1,1,1000.0,923.7
2025-08-25,1.6,29.5,23.0,58.1,4,2,1000.0,869.8
2025-08-26,13.2,30.1,23.0,62.8,1,0,1000.0,1016.4
2025-08-27,25.2,31.5,23.2,66.2,2,2,1000.0,890.6
2025-08-28,22.5,28.8,23.2,72.8,2,1,1000.0,921.5
2025-08-29,4.6,30.5,23.5,65.7,2,2,1000.0,894.3
2025-08-30,3.8,30.6,23.5,63.2,0,0,1000.0,1030.8
2025-08-31,16.1,29.7,23.7,65.8,4,2,1000.0,864.3
2025-09-01,63.5,28.7,23.6,86.7,5,3,1000.0,758.2
2025-09-02,42.4,28.3,21.9,92.7,0,1,1000.0,876.7
2025-09-03,18.1,26.8,22.4,94.1,2,0,1000.0,946.4
2025-09-04,12.0,28.5,23.0,91.0,2,1,1000.0,914.0
2025-09-05,0.4,30.0,22.9,83.5,3,2,1000.0,955.1
2025-09-06,2.7,29.4,23.2,82.6,2,0,1000.0,1022.1
2025-09-07,2.7,30.2,23.1,74.7,0,0,1000.0,959.7
2025-09-08,5.6,30.1,23.0,67.7,2,0,1000.0,929.6
2025-09-09,7.2,31.6,23.4,69.3,2,1,1000.0,928.1
2025-09-10,2.2,31.6,23.8,67.2,3,3,1000.0,852.9
2025-09-11,10.7,30.0,24.0,64.2,2,0,1000.0,963.7
2025-09-12,22.7,30.9,23.7,63.2,2,2,1000.0,883.0
