time,precipitation_sum,temperature_2m_max,temperature_2m_min
2025-01-01,0.0,26.1,12.0
2025-01-02,0.0,27.8,11.7
2025-01-03,0.0,28.0,12.2
2025-01-04,0.0,28.3,12.7
2025-01-05,0.0,26.9,12.3
2025-01-06,0.0,26.8,12.2
2025-01-07,0.0,27.1,11.5
2025-01-08,0.0,24.5,11.1
2025-01-09,0.0,26.6,10.2
2025-01-10,0.0,26.7,10.3
2025-01-11,0.0,27.0,12.1
2025-01-12,0.0,27.1,14.6
2025-01-13,0.1,26.2,14.3
2025-01-14,0.0,26.9,13.9
2025-01-15,0.0,27.6,14.4
2025-01-16,0.0,25.1,16.2
2025-01-17,0.0,27.0,14.3
2025-01-18,0.0,27.6,13.6
2025-01-19,0.0,28.4,13.2
2025-01-20,0.0,29.2,13.3
2025-01-21,0.0,30.0,14.3
2025-01-22,0.0,30.2,13.3
2025-01-23,0.0,29.9,15.1
2025-01-24,0.0,30.1,16.0
2025-01-25,0.0,30.4,16.6
2025-01-26,0.0,30.5,15.5
2025-01-27,0.0,30.6,14.6
2025-01-28,0.0,31.1,14.8
2025-01-29,0.0,31.0,16.0
2025-01-30,0.0,32.6,17.8
2025-01-31,0.0,32.5,17.5
2025-02-01,0.0,32.7,18.6
2025-02-02,0.0,32.8,18.7
2025-02-03,0.0,34.1,19.3
2025-02-04,0.0,34.2,19.5
2025-02-05,0.0,34.3,19.8
2025-02-06,0.0,30.8,18.3
2025-02-07,0.0,30.7,17.8
2025-02-08,0.0,32.4,17.6
2025-02-09,0.0,33.2,17.2
2025-02-10,0.0,34.1,17.9
2025-02-11,0.0,34.5,18.5
2025-02-12,0.0,34.0,17.7
2025-02-13,0.0,30.9,17.2
2025-02-14,0.0,32.0,15.8
2025-02-15,0.0,33.6,15.3
2025-02-16,0.0,34.4,15.6
2025-02-17,0.0,34.6,17.4
2025-02-18,0.0,34.6,18.9
2025-02-19,0.0,34.3,20.7
2025-02-20,0.0,34.7,19.5
2025-02-21,0.0,34.2,18.8
2025-02-22,0.0,33.2,18.6
2025-02-23,0.0,33.0,19.0
2025-02-24,0.0,33.2,18.5
2025-02-25,0.0,32.9,19.6
2025-02-26,0.0,34.0,19.4
2025-02-27,0.0,34.8,19.8
2025-02-28,0.0,35.5,19.3
2025-03-01,0.0,35.6,20.0
2025-03-02,0.0,36.1,21.2
2025-03-03,0.0,36.0,20.7
2025-03-04,0.0,36.8,20.3
2025-03-05,0.0,32.4,16.8
2025-03-06,0.0,33.3,16.7
2025-03-07,0.0,35.0,16.6
2025-03-08,0.0,36.5,16.5
2025-03-09,0.0,36.3,20.8
2025-03-10,0.0,36.3,21.8
2025-03-11,0.0,37.2,20.5
2025-03-12,0.0,39.2,20.1
2025-03-13,0.0,39.8,21.1
2025-03-14,0.0,40.9,21.9
2025-03-15,0.0,39.3,21.9
2025-03-16,0.0,39.3,23.0
2025-03-17,0.0,39.0,23.4
2025-03-18,0.0,38.4,23.3
2025-03-19,0.0,38.4,23.3
2025-03-20,0.0,38.2,24.7
2025-03-21,0.1,37.6,22.3
2025-03-22,0.0,36.2,21.5
2025-03-23,0.0,36.3,21.5
2025-03-24,0.0,36.7,20.7
2025-03-25,0.0,37.7,20.8
2025-03-26,0.0,38.3,21.4
2025-03-27,0.0,39.5,21.1
2025-03-28,0.0,39.8,22.9
2025-03-29,0.0,38.7,24.2
2025-03-30,0.0,39.3,23.9
2025-03-31,0.0,39.0,24.9
2025-04-01,0.0,37.8,24.5
2025-04-02,0.2,35.9,24.2
2025-04-03,9.1,31.2,21.8
2025-04-04,0.0,36.7,21.9
2025-04-05,0.0,38.6,22.1
2025-04-06,0.0,40.9,22.0
2025-04-07,0.0,39.9,21.7
2025-04-08,0.0,39.7,22.2
2025-04-09,0.0,38.0,24.2
2025-04-10,0.0,39.5,22.2
2025-04-11,0.0,41.0,22.3
2025-04-12,0.0,38.9,23.9
2025-04-13,0.0,39.6,23.1
2025-04-14,0.0,38.2,22.7
2025-04-15,0.0,38.7,23.0
2025-04-16,0.0,38.1,24.5
2025-04-17,0.0,38.9,24.8
2025-04-18,0.0,41.2,24.7
2025-04-19,0.0,42.5,26.2
2025-04-20,0.0,42.8,25.2
2025-04-21,0.0,42.6,24.4
2025-04-22,0.0,43.1,24.7
2025-04-23,0.0,42.9,24.2
2025-04-24,0.0,42.8,24.1
2025-04-25,0.0,42.4,24.3
2025-04-26,0.0,40.8,28.3
2025-04-27,1.3,37.9,24.9
2025-04-28,0.0,39.3,24.6
2025-04-29,0.0,39.7,25.5
2025-04-30,0.0,40.3,24.9
2025-05-01,0.0,39.0,24.1
2025-05-02,0.0,37.9,23.5
2025-05-03,2.9,38.7,22.2
2025-05-04,10.2,38.3,21.8
2025-05-05,0.5,37.6,21.6
2025-05-06,0.0,36.7,22.8
2025-05-07,0.0,36.5,23.0
2025-05-08,0.0,37.1,22.7
2025-05-09,0.0,37.7,24.9
2025-05-10,0.0,39.4,24.6
2025-05-11,0.0,39.4,26.1
2025-05-12,1.2,37.7,25.8
2025-05-13,0.7,39.1,26.5
2025-05-14,0.3,38.7,26.3
2025-05-15,0.0,37.8,26.0
2025-05-16,4.6,39.4,26.5
2025-05-17,0.0,39.1,26.4
2025-05-18,0.0,38.4,27.2
2025-05-19,0.4,38.1,25.5
2025-05-20,0.0,39.5,26.7
2025-05-21,0.5,39.2,26.0
2025-05-22,0.0,30.3,24.1
2025-05-23,0.0,35.3,23.9
2025-05-24,2.7,32.9,24.3
2025-05-25,0.8,34.7,24.2
2025-05-26,9.6,35.1,25.0
2025-05-27,4.8,37.0,24.9
2025-05-28,11.0,36.8,24.8
2025-05-29,0.0,37.1,26.0
2025-05-30,1.9,36.9,26.8
2025-05-31,0.0,37.5,26.0
2025-06-01,0.0,36.6,24.7
2025-06-02,1.2,35.8,24.8
2025-06-03,0.0,35.2,25.2
2025-06-04,1.2,33.5,24.6
2025-06-05,0.0,36.1,24.3
2025-06-06,0.0,38.1,23.8
2025-06-07,0.0,37.1,24.7
2025-06-08,0.0,40.5,26.8
2025-06-09,0.0,41.3,25.7
2025-06-10,0.0,41.2,25.2
2025-06-11,0.5,36.7,27.1
2025-06-12,0.0,37.1,27.0
2025-06-13,0.4,36.0,26.7
2025-06-14,0.3,37.1,26.1
2025-06-15,0.0,36.5,26.7
2025-06-16,5.9,34.7,24.7
2025-06-17,4.8,31.7,24.8
2025-06-18,0.1,35.3,26.6
2025-06-19,0.6,32.6,24.8
2025-06-20,3.8,30.1,24.6
2025-06-21,3.1,33.4,24.2
2025-06-22,6.3,28.9,24.3
2025-06-23,18.3,33.7,24.2
2025-06-24,28.9,32.2,24.1
2025-06-25,7.3,31.2,24.2
2025-06-26,8.3,29.4,23.9
2025-06-27,3.2,30.7,23.9
2025-06-28,4.3,31.7,23.8
2025-06-29,25.5,28.7,22.7
2025-06-30,44.4,31.3,23.0
2025-07-01,22.9,29.1,23.1
2025-07-02,2.5,29.3,23.7
2025-07-03,15.6,30.6,24.1
2025-07-04,8.4,27.0,24.2
2025-07-05,4.0,29.1,24.1
2025-07-06,46.8,28.0,23.5
2025-07-07,124.7,24.1,22.8
2025-07-08,65.3,26.7,22.6
2025-07-09,15.7,26.6,22.7
2025-07-10,30.0,30.7,22.7
2025-07-11,14.2,31.4,22.9
2025-07-12,0.0,32.3,23.7
2025-07-13,4.5,31.2,24.8
2025-07-14,10.9,32.0,24.7
2025-07-15,2.2,32.0,24.6
2025-07-16,9.8,28.8,24.3
2025-07-17,7.0,29.3,24.3
2025-07-18,1.4,31.3,23.9
2025-07-19,0.3,33.1,23.7
2025-07-20,21.2,32.2,23.4
2025-07-21,11.6,32.9,23.4
2025-07-22,18.1,30.9,24.5
2025-07-23,28.5,31.9,24.2
2025-07-24,60.7,27.1,23.4
2025-07-25,46.7,26.6,23.3
2025-07-26,69.8,27.0,23.4
2025-07-27,0.5,31.0,23.6
2025-07-28,14.3,28.2,23.4
2025-07-29,11.7,26.2,23.3
2025-07-30,1.9,29.9,23.1
2025-07-31,2.0,30.9,23.2
2025-08-01,0.0,32.4,23.4
2025-08-02,0.1,32.0,24.2
2025-08-03,0.5,32.4,24.0
2025-08-04,0.4,33.0,23.9
2025-08-05,0.6,32.5,24.1
2025-08-06,1.5,32.8,24.6
2025-08-07,5.1,32.6,23.8
2025-08-08,6.4,30.3,23.2
2025-08-09,2.4,30.7,23.5
2025-08-10,2.2,32.1,23.4
2025-08-11,2.3,31.7,23.7
2025-08-12,14.0,31.9,24.3
2025-08-13,36.7,28.9,23.7
2025-08-14,3.9,31.6,23.9
2025-08-15,25.1,29.6,23.4
2025-08-16,32.8,30.1,23.3
2025-08-17,1.6,30.8,24.1
2025-08-18,10.7,30.7,24.1
2025-08-19,25.5,31.0,23.8
2025-08-20,19.7,28.3,23.4
2025-08-21,9.6,29.8,23.4
2025-08-22,16.8,26.9,23.6
2025-08-23,7.8,27.5,23.0
2025-08-24,12.4,28.9,23.0
2025-08-25,1.6,29.5,23.0
2025-08-26,13.2,30.1,23.0
2025-08-27,25.2,31.5,23.2
2025-08-28,22.5,28.8,23.2
2025-08-29,4.6,30.5,23.5
2025-08-30,3.8,30.6,23.5
2025-08-31,16.1,29.7,23.7
2025-09-01,63.5,28.7,23.6
2025-09-02,42.4,28.3,21.9
2025-09-03,18.1,26.8,22.4
2025-09-04,12.0,28.5,23.0
2025-09-05,0.4,30.0,22.9
2025-09-06,2.7,29.4,23.2
2025-09-07,2.7,30.2,23.1
2025-09-08,5.6,30.1,23.0
2025-09-09,7.2,31.6,23.4
2025-09-10,2.2,31.6,23.8
2025-09-11,10.7,30.0,24.0
2025-09-12,22.7,30.9,23.7
2025-09-13,8.9,30.5,23.4
2025-09-14,10.3,30.6,23.6
2025-09-15,11.0,29.2,23.9
2025-09-16,10.3,30.1,23.9
2025-09-17,4.1,29.8,23.4
2025-09-18,1.9,30.2,23.2
2025-09-19,0.2,31.1,23.4
2025-09-20,2.3,31.6,23.8
2025-09-21,0.2,32.1,23.8
2025-09-22,0.0,32.8,23.5
2025-09-23,0.0,32.5,23.1
2025-09-24,0.8,32.8,24.1
2025-09-25,14.6,29.0,23.4
2025-09-26,5.6,31.7,24.1
2025-09-27,26.6,28.7,23.5
2025-09-28,1.9,29.7,22.6
2025-09-29,1.7,30.0,22.4
2025-09-30,0.5,31.4,23.0
2025-10-01,4.0,31.5,23.5
2025-10-02,8.5,30.7,23.2
2025-10-03,3.3,29.8,24.1
2025-10-04,7.4,30.2,23.2
2025-10-05,6.8,30.1,23.3
2025-10-06,20.5,27.9,22.9
2025-10-07,0.5,30.2,22.0
2025-10-08,0.0,30.5,22.2
2025-10-09,0.0,30.6,21.5
2025-10-10,1.6,28.9,21.7
2025-10-11,1.0,29.4,20.0
2025-10-12,0.0,30.4,20.3
2025-10-13,0.9,29.4,21.1
2025-10-14,0.7,30.1,21.6
2025-10-15,0.0,30.9,21.7
2025-10-16,0.0,31.0,21.4
2025-10-17,0.2,30.5,21.1
2025-10-18,0.0,30.6,19.2
2025-10-19,0.0,30.8,19.5
2025-10-20,0.7,30.1,19.4
2025-10-21,0.1,31.3,22.5
2025-10-22,0.0,32.2,22.4
2025-10-23,0.0,32.2,22.5
2025-10-24,0.6,31.4,22.6
2025-10-25,4.1,27.3,21.9
2025-10-26,9.4,27.8,21.6
2025-10-27,1.1,30.9,21.5
2025-10-28,0.9,29.7,23.8
2025-10-29,7.1,29.3,23.4
2025-10-30,9.8,25.5,22.1
2025-10-31,11.2,28.5,21.6
2025-11-01,0.2,30.4,22.2
2025-11-02,2.0,29.4,21.8
2025-11-03,0.0,31.7,20.8
2025-11-04,0.7,30.0,20.7
2025-11-05,0.0,30.6,20.4
2025-11-06,0.0,30.5,17.6
2025-11-07,0.0,29.8,17.4
2025-11-08,0.0,29.1,14.6
2025-11-09,0.0,27.7,13.6
2025-11-10,0.0,27.9,13.1
2025-11-11,0.0,27.8,13.6
2025-11-12,0.0,28.3,13.4
2025-11-13,0.0,28.0,13.9
2025-11-14,0.0,27.7,13.4
2025-11-15,0.0,27.7,14.0
2025-11-16,0.0,26.9,14.1
2025-11-17,0.0,26.4,14.2
2025-11-18,0.0,26.8,13.8
2025-11-19,0.0,27.5,13.2
2025-11-20,0.0,28.2,13.3
2025-11-21,0.0,28.6,13.9
2025-11-22,0.0,28.8,14.3
2025-11-23,0.0,28.9,14.4
2025-11-24,0.0,29.1,15.8
2025-11-25,0.0,28.8,16.8
2025-11-26,0.0,28.6,16.7
2025-11-27,0.0,28.2,15.1
2025-11-28,0.0,25.9,13.5
2025-11-29,0.0,26.4,13.0
2025-11-30,0.0,26.4,13.7
2025-12-01,0.0,26.9,14.0
2025-12-02,0.0,27.1,13.9
2025-12-03,0.0,26.6,13.8
2025-12-04,0.0,26.5,14.2
2025-12-05,0.0,26.4,13.2
2025-12-06,0.0,26.2,12.8
2025-12-07,0.0,27.7,12.3
2025-12-08,0.0,28.9,12.9
2025-12-09,0.0,28.6,13.4
2025-12-10,0.0,27.9,12.3
2025-12-11,0.0,27.6,11.6
2025-12-12,0.0,27.6,12.0
2025-12-13,0.0,27.7,11.9
2025-12-14,0.0,27.2,12.4
2025-12-15,0.0,26.7,13.2
2025-12-16,0.0,26.6,11.8
2025-12-17,0.0,29.2,11.3
2025-12-18,0.0,29.0,12.7
2025-12-19,0.0,26.8,12.1
2025-12-20,0.0,27.3,11.7
2025-12-21,0.0,27.4,11.8
2025-12-22,0.0,27.4,13.3
2025-12-23,0.0,28.1,12.8
2025-12-24,0.0,27.3,13.0
2025-12-25,0.0,27.0,13.5
2025-12-26,0.0,26.8,12.7
2025-12-27,0.0,27.0,12.0
2025-12-28,0.0,27.1,12.0
2025-12-29,0.0,27.6,10.7
2025-12-30,0.0,27.7,10.1
2025-12-31,0.0,27.1,10.0
2026-01-01,0.0,27.5,12.1
